Name,WALGREEN CO. 2008 4 7/8% 01/08/13 S - GROSS PRICE
Code,2218H2(GP)
15/07/2008,
16/07/2008,99.7515
17/07/2008,99.111
18/07/2008,98.8644
21/07/2008,99.2724
22/07/2008,99.1126
23/07/2008,98.8089
24/07/2008,99.6487
25/07/2008,99.2718
28/07/2008,99.7094
29/07/2008,99.5923
30/07/2008,99.5904
31/07/2008,100.0411
1/08/2008,100.6693
4/08/2008,100.5506
5/08/2008,100.476
6/08/2008,100.3848
7/08/2008,101.0123
8/08/2008,100.8056
11/08/2008,100.5998
12/08/2008,101.0515
13/08/2008,100.9593
14/08/2008,101.1917
15/08/2008,101.3805
18/08/2008,101.5696
19/08/2008,101.5825
20/08/2008,101.8853
21/08/2008,101.6341
22/08/2008,101.3838
25/08/2008,101.7917
26/08/2008,101.7605
27/08/2008,101.8733
28/08/2008,101.7108
29/08/2008,101.5488
1/09/2008,101.5623
2/09/2008,101.8815
3/09/2008,102.1829
4/09/2008,102.4592
5/09/2008,102.2961
8/09/2008,102.1335
9/09/2008,102.497
10/09/2008,102.3595
11/09/2008,102.5473
12/09/2008,102.2538
