COMSTOCK RESOURCES INC,,,,,,,,,
TICKER:,CRK,,,,,,,,
SIC:,1311,,,,,,,,
GICS:,10102020,,,,,,,,
,Dec-00,Dec-01,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08
Cash,7.105,6.122,1.682,5.343,2.703,0.089,10.715,@NA,@NA
Receivables,39.211,24.732,35.542,45.992,41.068,43.199,76.947,@NA,@NA
Bad Debt Reserve,@NA,@NA,@NA,@NA,@NA,0,0,@NA,@NA
Inventory,0,0,0,0.523,2.755,1.408,1.251,@NA,@NA
Total Current Assets,49.158,39.614,39.902,56.137,48.215,52.77,98.828,@NA,@NA
PP&E,434.913,638.576,664.208,698.686,827.761,706.928,1773.626,@NA,@NA
Intangibles,0,0,0,0,0,0,0,@NA,@NA
Deferred Charges,@CF,@CF,@CF,@CF,@CF,@CF,@CF,@NA,@NA
Equity Investments,0,0,0,0,0,252.134,0,@NA,@NA
Other Investments,0,0,0,0,59.417,0,0,@NA,@NA
Total Assets,489.93,683.071,711.053,760.956,941.476,1016.663,1878.125,@NA,@NA
Debt - Current Portion ,0.101,0.229,0.27,0.623,0.15,0,0,@NA,@NA
Notes Payable,0,0,0,0,0,0,3.25,@NA,@NA
Accounts Payable,45.544,37.389,49.47,63.874,44.512,44.216,132.504,@NA,@NA
Taxes Payable,0,0,0,0,0,0,0,@NA,@NA
Total Current Liabilities,45.645,38.416,49.797,64.497,63.924,68.117,151.861,@NA,@NA
Total Long Term Debt,234,372.235,366.002,306,403,243,455,@NA,@NA
Deferred LT Taxes,22.555,47.911,52.577,81.629,99.451,119.481,311.236,@NA,@NA
Minority Interests,0,0,0,0,0,0,220.349,@NA,@NA
Total Liabilities,309.757,467.409,485.053,471.3,585.623,433.804,1195.562,@NA,@NA
Preferred Stock - Total,17.573,17.573,17.573,0,0,0,0,@NA,@NA
Common Equity,162.6,198.089,208.427,289.656,355.853,582.859,682.563,@NA,@NA
Total Stockholders' Equity,180.173,215.662,226,289.656,355.853,582.859,682.563,@NA,@NA
Common Shares O/S,28.838,28.553,28.92,34.309,35.649,42.969,44.395,@NA,@NA
